SMU.16	2403	2625	1327	1139	3142	3535	4310	3335	2514	2075	2198	1771	1661	2319	1855	1464	1371	1926	2014	4878	4029	4060	3295	4854	5342	3540	4157	3655	4708	4413	2063	2868	3387	3676	1298	662	871	399	1036	1123	1371	1183	3057	2337	1359	2111
SMU.18	316	263	240	511	623	738	649	569	566	249	295	233	207	421	255	251	186	173	190	276	278	241	200	281	330	142	174	143	188	175	252	392	382	403	135	77	86	50	116	108	127	132	259	306	216	251
SMU.20	1540	1257	369	388	1277	1208	1282	949	1126	1477	1574	749	632	1431	1299	623	642	745	850	3453	3017	2950	3132	5302	6681	2514	3140	2820	3423	3277	2217	1419	3646	3305	1280	596	920	275	749	915	751	541	1642	1043	572	780
SMU.21	263	283	41	65	132	142	162	125	119	231	183	110	85	237	267	141	120	219	175	352	277	286	332	2298	1716	523	310	523	617	538	345	184	470	570	90	32	52	25	66	66	41	36	76	62	52	66
SMU.22	153338	164069	146810	149476	141540	110815	122654	88079	118286	168550	192266	156805	145843	149347	101949	120784	121468	152837	127026	250201	209921	201608	215022	200757	225416	109904	140591	120572	152951	128956	77614	120855	144786	140762	60522	28232	34994	29075	65722	73452	27490	25371	61787	74294	48438	71779
SMU.23	3750	4770	2696	2502	4689	3250	4313	3320	4540	4797	5696	3379	2881	3510	2851	2139	2237	4083	3925	7264	6503	5730	5626	8282	9824	5411	6744	5700	7308	6048	3439	6885	7526	6548	2635	1103	1340	1162	2621	3192	1581	3252	3428	4301	2463	3255
SMU.24	3157	4218	3281	2928	3462	2057	2525	2124	4569	6217	6677	3373	3036	4644	2943	2481	2944	3543	3122	5355	4635	4476	4600	4370	5291	2579	3482	2765	3508	3199	1842	2381	4382	3260	1825	852	989	1494	2999	3558	1088	1052	2319	4377	2521	3659
SMU.25	2050	2698	1572	434	1856	1150	1614	1504	2987	3813	4122	1608	1336	1950	1448	865	769	2225	2223	1147	1087	905	972	2991	3277	1682	2238	1837	2243	2062	1367	1271	3004	2115	727	324	386	508	1129	1516	339	223	801	1428	721	995
SMU.26	6850	8007	5574	5166	4641	3708	3988	3229	5704	10243	11145	7257	6505	10307	7328	5518	6230	6041	5588	14017	12132	11687	10502	9449	10868	6400	8375	6685	8710	7636	4177	5912	7703	7350	4288	1998	2629	2791	6005	6707	2013	2030	4417	7031	3995	6304
SMU.27	2752	2953	2220	1939	1840	1293	1452	1170	2216	3577	3735	2499	2127	3223	2241	1829	1810	1971	1915	4287	3599	3581	3320	3012	3388	2150	2731	2202	2857	2564	1474	2247	2831	2608	1491	681	902	933	1986	2137	664	610	1376	2055	1235	1920
SMU.28	119	153	79	35	48	29	42	27	34	146	185	65	53	167	92	60	66	56	68	312	238	262	238	206	231	137	176	145	221	175	80	122	142	124	63	20	43	35	54	76	16	32	41	54	32	50
SMU.29	2957	1378	1772	775	1058	718	840	670	830	1387	1383	1953	1437	1272	1097	779	484	1611	1489	681	595	595	414	421	497	216	252	230	290	275	173	193	394	277	182	87	76	101	244	225	170	151	273	836	421	617
SMU.30	13354	8515	14763	5981	8440	4885	5758	4620	6344	7659	7923	10736	7287	6905	6113	4344	2414	8102	7417	4464	4213	3844	2808	2689	3496	1569	2057	1558	2102	1956	1038	1425	2354	1904	912	442	519	533	1172	1411	959	1334	1769	4791	2375	3444
SMU.31	3173	1723	2623	1007	1594	1157	1413	1336	1687	1736	1781	2024	1197	1293	1154	801	402	1599	1537	801	717	647	445	612	763	285	323	277	356	345	195	120	422	266	150	57	93	75	148	208	149	93	242	528	282	401
SMU.32	5173	3718	6789	2514	3190	2234	2610	2134	2606	3415	3885	4853	2858	3297	2869	2272	1123	3070	2861	2314	2062	1929	1522	1249	1625	676	865	615	852	772	425	415	975	696	403	182	231	216	459	553	408	414	720	1868	915	1343
SMU.33	1469	939	1604	37	30	19	22	24	22	1055	1158	1482	823	1094	947	675	321	875	837	572	528	507	397	349	398	177	223	178	195	197	25	21	38	36	111	49	67	72	126	130	1	0	0	0	0	1
SMU.34	3454	2683	4285	1739	2683	2009	2219	1845	2213	2681	2705	3429	1968	2178	1755	1381	696	2421	2391	1685	1440	1329	1103	1169	1437	634	740	597	764	803	389	347	809	631	327	112	195	199	411	522	265	254	540	1195	612	906
